item_id,category,item_name,unit,material_cost,labor_cost,total_price,csi_code
1,Lumber,Cedar Fence Panel,each,45.00,25.00,70.00,06 10 00
2,Lumber,Wood Stud 2x4x8,each,5.50,3.00,8.50,06 10 00
3,Lumber,Wood Stud 2x6x8,each,8.75,3.00,11.75,06 10 00
4,Lumber,Plywood Sheet 4x8,each,42.00,10.00,52.00,06 16 00
5,Lumber,Pressure Treated Deck Board,linear_ft,3.25,2.50,5.75,06 15 00
6,Lumber,OSB Sheathing 4x8,each,28.00,8.00,36.00,06 16 00
7,Lumber,Cedar Fence Picket,each,4.50,1.50,6.00,06 10 00
8,Lumber,Fence Post 4x4x8,each,12.00,8.00,20.00,06 10 00
9,Lumber,Hardwood Flooring Plank,sq_ft,6.50,4.00,10.50,09 64 00
10,Lumber,LVL Beam 1.75x9.5,linear_ft,8.00,5.00,13.00,06 17 00
11,Concrete,Concrete Mix 80lb Bag,each,6.50,4.00,10.50,03 30 00
12,Concrete,Ready Mix Concrete,cubic_yd,135.00,65.00,200.00,03 30 00
13,Concrete,Concrete Block 8x8x16,each,2.25,3.50,5.75,04 22 00
14,Concrete,Rebar Steel #4,linear_ft,1.10,0.75,1.85,03 20 00
15,Concrete,Rebar Steel #5,linear_ft,1.45,0.85,2.30,03 20 00
16,Concrete,Wire Mesh 6x6 Sheet,each,8.50,3.00,11.50,03 20 00
17,Concrete,Concrete Anchor Bolt,each,3.75,2.00,5.75,03 15 00
18,Concrete,Expansion Joint Filler,linear_ft,1.50,1.00,2.50,03 15 00
19,Concrete,Concrete Stamp Rental,day,150.00,0.00,150.00,03 35 00
20,Concrete,Concrete Sealer,gallon,35.00,5.00,40.00,03 35 00
21,Fencing,Horizontal Cedar Fencing,linear_ft,18.00,12.00,30.00,32 31 00
22,Fencing,Chain Link Fence 4ft,linear_ft,8.00,6.00,14.00,32 31 13
23,Fencing,Vinyl Privacy Fence Panel,each,85.00,30.00,115.00,32 31 00
24,Fencing,Smart Gate Lock,each,250.00,50.00,300.00,32 31 00
25,Fencing,Metal Fence Post,each,15.00,10.00,25.00,32 31 00
26,Fencing,Fence Gate Hardware Kit,each,35.00,15.00,50.00,32 31 00
27,Fencing,Wrought Iron Fence Panel,each,120.00,45.00,165.00,32 31 00
28,Fencing,Fence Stain Solid,gallon,38.00,8.00,46.00,09 93 00
29,Fencing,Post Cap Cedar,each,8.00,2.00,10.00,32 31 00
30,Fencing,Fence Rail Cedar 2x4x8,each,9.00,3.00,12.00,06 10 00
31,Electrical,Electrical Conduit EMT 1/2in,10ft,4.50,6.00,10.50,26 05 33
32,Electrical,Electrical Wire 12/2 NM-B,linear_ft,0.65,0.50,1.15,26 05 19
33,Electrical,Electrical Panel 200A,each,250.00,350.00,600.00,26 24 16
34,Electrical,GFCI Outlet,each,18.00,25.00,43.00,26 27 26
35,Electrical,Standard Outlet Receptacle,each,3.50,20.00,23.50,26 27 26
36,Electrical,Light Switch Single Pole,each,2.50,18.00,20.50,26 27 26
37,Electrical,LED Recessed Light 6in,each,22.00,30.00,52.00,26 51 13
38,Electrical,Circuit Breaker 20A,each,8.00,15.00,23.00,26 24 16
39,Electrical,Junction Box,each,2.00,8.00,10.00,26 05 33
40,Electrical,Ceiling Fan with Light,each,150.00,75.00,225.00,26 51 00
41,Plumbing,PVC Pipe 2in,10ft,6.50,8.00,14.50,22 11 16
42,Plumbing,Copper Pipe 1/2in,linear_ft,4.50,6.00,10.50,22 11 13
43,Plumbing,Water Heater 50 Gallon,each,650.00,250.00,900.00,22 34 00
44,Plumbing,Kitchen Faucet,each,120.00,65.00,185.00,22 41 13
45,Plumbing,Bathroom Sink Faucet,each,85.00,55.00,140.00,22 41 13
46,Plumbing,Toilet Standard,each,180.00,120.00,300.00,22 42 13
47,Plumbing,Shower Valve Assembly,each,95.00,80.00,175.00,22 41 13
48,Plumbing,PVC Elbow Fitting 2in,each,1.50,3.00,4.50,22 11 16
49,Plumbing,Drain Assembly,each,25.00,35.00,60.00,22 13 00
50,Plumbing,Sump Pump 1/3 HP,each,130.00,85.00,215.00,22 14 00
51,Roofing,Asphalt Roof Shingles Bundle,each,32.00,25.00,57.00,07 31 13
52,Roofing,Roof Underlayment Roll,each,45.00,12.00,57.00,07 25 00
53,Roofing,Ridge Vent 4ft,each,14.00,8.00,22.00,07 72 00
54,Roofing,Roof Flashing Aluminum,linear_ft,2.50,3.00,5.50,07 62 00
55,Roofing,Roofing Nail 1.5in (5lb),each,12.00,0.00,12.00,07 31 13
56,Roofing,Drip Edge 10ft,each,6.00,4.00,10.00,07 62 00
57,Roofing,Metal Roofing Panel,sq_ft,4.50,3.50,8.00,07 61 00
58,Roofing,Roof Sealant Tube,each,7.50,2.00,9.50,07 92 00
59,Roofing,Skylight 2x4,each,350.00,200.00,550.00,07 72 00
60,Roofing,Gutter Section 10ft,each,8.00,6.00,14.00,07 71 00
61,Drywall,Drywall Sheet 4x8 1/2in,each,14.00,12.00,26.00,09 29 00
62,Drywall,Drywall Sheet 4x8 5/8in,each,16.00,12.00,28.00,09 29 00
63,Drywall,Joint Compound 5 Gallon,each,18.00,0.00,18.00,09 29 00
64,Drywall,Drywall Tape Roll,each,4.50,0.00,4.50,09 29 00
65,Drywall,Drywall Screw Box,each,8.00,0.00,8.00,09 29 00
66,Drywall,Corner Bead Metal 8ft,each,3.50,4.00,7.50,09 29 00
67,Masonry,Brick Standard Red,each,0.75,1.25,2.00,04 21 13
68,Masonry,Brick Masonry Veneer,sq_ft,8.50,10.00,18.50,04 21 13
69,Masonry,Mortar Mix 80lb,each,7.50,0.00,7.50,04 05 13
70,Masonry,Stone Veneer Panel,sq_ft,12.00,15.00,27.00,04 42 00
71,Masonry,Concrete Paver,each,3.50,2.50,6.00,32 14 13
72,Masonry,Retaining Wall Block,each,5.00,4.00,9.00,32 32 00
73,Insulation,Fiberglass Batt R-13,sq_ft,0.55,0.45,1.00,07 21 13
74,Insulation,Fiberglass Batt R-19,sq_ft,0.75,0.50,1.25,07 21 13
75,Insulation,Spray Foam Insulation,sq_ft,1.50,1.50,3.00,07 21 29
76,Insulation,Rigid Foam Board 2in,each,28.00,8.00,36.00,07 21 00
77,Insulation,Vapor Barrier Sheet,sq_ft,0.15,0.10,0.25,07 26 00
78,Flooring,Ceramic Floor Tile 12x12,sq_ft,3.50,5.00,8.50,09 30 13
79,Flooring,Porcelain Tile 12x24,sq_ft,5.00,6.00,11.00,09 30 13
80,Flooring,Vinyl Plank Flooring,sq_ft,2.75,2.00,4.75,09 65 00
81,Flooring,Carpet Roll,sq_ft,2.00,1.50,3.50,09 68 00
82,Flooring,Tile Grout 25lb,each,15.00,0.00,15.00,09 30 00
83,Flooring,Tile Adhesive 50lb,each,22.00,0.00,22.00,09 30 00
84,Painting,Interior Paint Gallon,gallon,35.00,15.00,50.00,09 91 00
85,Painting,Exterior Paint Gallon,gallon,42.00,18.00,60.00,09 91 00
86,Painting,Primer Gallon,gallon,25.00,10.00,35.00,09 91 00
87,Painting,Paint Roller Set,each,12.00,0.00,12.00,09 91 00
88,Painting,Caulk Tube,each,5.50,2.00,7.50,07 92 00
89,HVAC,HVAC Air Filter 20x25,each,8.00,5.00,13.00,23 40 00
90,HVAC,Ductwork Section,linear_ft,6.00,8.00,14.00,23 31 00
91,HVAC,Thermostat Programmable,each,45.00,30.00,75.00,23 09 00
92,HVAC,HVAC Register Vent,each,12.00,8.00,20.00,23 37 00
93,Hardware,Structural Screw Box,each,12.00,0.00,12.00,06 05 23
94,Hardware,Concrete Nail Box,each,8.00,0.00,8.00,05 05 19
95,Hardware,Construction Adhesive Tube,each,6.50,0.00,6.50,06 05 23
96,Hardware,Lag Bolt Box,each,14.00,0.00,14.00,05 05 19
97,Equipment,Scaffolding Rental,day,85.00,0.00,85.00,01 54 00
98,Equipment,Dumpster Rental 20yd,day,125.00,0.00,125.00,01 74 00
99,Labor,General Labor,hour,0.00,45.00,45.00,01 00 00
100,Labor,Skilled Trade Labor,hour,0.00,75.00,75.00,01 00 00
